Poco_id,Poco,Tipo,LDA,Class_etapa,Duracao,UO,Campo,Tipo_sonda,Sonda,Data_fim_etapa
1,1-ESS-103A,Convencional com BOP,1374,Etapa Unica,55.7501,UO-ES,JUBARTE,DP-GEN,SS-85,12/07/2019
2,1-RJS-186A,Convencional com BOP,231,Etapa Unica,53.4997,UO-BC,PIRAUNA,ANC,SS-45,20/09/2015
3,1-RJS-236B,Superconvencional,99,Etapa Unica,54.2918,UO-BC,TRILHA,ANC,P-10,03/08/2015
4,1-RJS-284,Through-Tubing,383,Etapa Unica,50.6043,UO-BC,MARIMBA,ANC,SS-45,25/02/2017
5,1-RJS-436A,Convencional com BOP,1853,Etapa Unica,28.9165,UO-ES,RONCADOR,DP-GEN,SS-70,05/12/2021
6,1-RJS-460,Superconvencional,951,Etapa Unica,58.1042,UO-BC,MARLIM SUL,DP-GEN,SS-81,29/10/2020
7,1-RJS-49,Superconvencional,101,Etapa Unica,27.6666,UO-BC,LINGUADO,ANC,P-17,30/09/2015
8,1-RJS-512HA,Superconvencional,328,Etapa Unica,83.7296,UO-BC,CONGRO,ANC,SS-45,28/06/2021
9,1-SPS-44,Convencional com BOP,147,Etapa Unica,25.0625,E&P-EXP,BM-S-3,DP-GEN,SS-54,19/01/2015
10,1-SPS-44,Convencional com BOP,147,Etapa Unica,17.5,E&P-EXP,BM-S-3,DP-GEN,SS-67,19/01/2015
11,2-ANP-1-RJS,Through-Tubing,1894,Etapa Unica,32.7705,BUZIOS,BUZIOS,DP-GEN,NS-31,23/08/2017
12,3-BD-15C-RJS,Superconvencional,95,Faseado Etapa 1,50.9996,UO-BC,BADEJO,ANC,SS-45,29/07/2015
13,3-LI-5-RJS,Convencional com BOP,103,Etapa Unica,53.2921,UO-BC,LINGUADO,ANC,P-10,26/09/2015
14,3-PRM-12-SES,Through-Tubing,813,Etapa Unica,23.4793,UO-SEAL,PIRANEMA,DP-LWO,NS-51,16/02/2021
15,3-RJS-157C,Convencional com BOP,101,Faseado Completo,13.3334,UO-BC,LINGUADO,ANC,P-16,02/06/2016
16,3-RJS-157C,Convencional com BOP,101,Faseado Completo,22.5621,UO-BC,LINGUADO,ANC,SS-45,02/06/2016
17,3-RJS-157C,Convencional com BOP,101,Faseado Completo,17.4584,UO-BC,LINGUADO,ANC,SS-45,02/06/2016
18,3-RJS-168,Through-Tubing,95,Etapa Unica,28.5833,UO-BC,LINGUADO,ANC,SS-45,22/03/2016
19,3-RJS-170,Convencional com BOP,117,Etapa Unica,53.0002,UO-BC,PAMPO,ANC,SS-45,28/12/2015
20,3-RJS-202D,Convencional com BOP,230,Etapa Unica,46.0407,UO-BC,PIRAUNA,ANC,SS-45,05/11/2015
21,3-RJS-281,Superconvencional,114,Etapa Unica,35.6248,UO-BC,MOREIA,ANC,SS-45,31/07/2016
22,3-RJS-313,Superconvencional,116,Etapa Unica,27.4788,UO-BC,MOREIA,ANC,SS-45,27/08/2016
23,3-RJS-334,Convencional com BOP,329,Faseado Etapa 1,42.875,UO-ES,ALBACORA,ANC,SS-45,13/10/2021
24,3-RJS-488,Through-Tubing,834,Etapa Unica,14.0834,UO-BC,MARLIM,DP-LWO,NS-52,16/05/2021
25,3-RJS-670,Convencional com BOP,934,Etapa Unica,39.729,UO-BC,C-M-401,DP-GEN,SS-81,01/03/2020
26,3-RJS-73B,Superconvencional,102,Etapa Unica,91.6667,UO-BC,LINGUADO,ANC,P-10,13/01/2015
27,3-SES-154,Convencional RCMA,1340,Etapa Unica,37.6459,UO-SEAL,PIRANEMA,DP-LWO,NS-51,23/11/2020
28,4-ESS-132,Convencional com BOP,1440,Etapa Unica,39.1877,UO-ES,GOLFINHO,DP-GEN,SS-56,14/12/2017
29,4-RJS-134,Convencional com BOP,122,Etapa Unica,22.3126,UO-BC,BICUDO,ANC,SS-39,25/10/2015
30,4-RJS-156,Convencional com BOP,101,Faseado Etapa 1,46.1251,UO-BC,LINGUADO,ANC,SS-50,22/06/2016
31,4-RJS-216,Convencional com BOP,284,Etapa Unica,71.5417,UO-BC,PIRAUNA,ANC,SS-62,18/06/2015
32,4-RJS-258,Superconvencional,99,Etapa Unica,142.4995,UO-BC,BADEJO,ANC,P-17,20/02/2016
33,4-RJS-265A,Convencional com BOP,101,Etapa Unica,23.5833,UO-BC,TRILHA,ANC,SS-50,20/03/2016
34,4-RJS-477A,Convencional com BOP,1107,Etapa Unica,61.9792,UO-ES,ALBACORA LESTE,DP-GEN,NS-42,14/12/2019
35,4-SPS-65,Convencional com BOP,149,Etapa Unica,13.1042,E&P-EXP,BM-S-3,DP-GEN,SS-54,01/02/2015
36,6-BR-63A-RJS,Convencional com BOP,873,Etapa Unica,39.8755,UO-BC,BARRACUDA,DP-GEN,SS-61,15/01/2016
37,6-PRM-4D-SES,Convencional RCMA,1483,Faseado Completo,25.1458,UO-SEAL,PIRANEMA,DP-LWO,NS-51,29/04/2021
38,6-PRM-4D-SES,Convencional RCMA,1483,Faseado Completo,10.0417,UO-SEAL,PIRANEMA,DP-LWO,NS-51,11/08/2021
39,7-AB-10D-RJS,Convencional com BOP,847,Etapa Unica,23.6663,UO-ES,ALBACORA,ANC,SS-62,09/12/2015
40,7-AB-16D-RJS,Through-Tubing,448,Etapa Unica,39.854,UO-ES,ALBACORA,ANC,SS-45,06/04/2022
41,7-AB-19DA-RJS,Through-Tubing,600,Etapa Unica,47.1039,UO-ES,ALBACORA,DP-LWO,NS-51,25/08/2018
42,7-AB-25D-RJS,Through-Tubing,602,Etapa Unica,44.7499,UO-ES,ALBACORA,DP-LWO,NS-51,30/01/2020
43,7-AB-25D-RJS,Through-Tubing,602,Etapa Unica,36.5416,UO-ES,ALBACORA,DP-LWO,NS-52,30/01/2020
44,7-AB-37D-RJS,Through-Tubing,532,Etapa Unica,57.0828,UO-ES,ALBACORA,DP-LWO,NS-52,12/07/2021
45,7-AB-47D-RJS,Through-Tubing,397,Etapa Unica,48.1456,UO-ES,ALBACORA,ANC,SS-45,15/08/2021
46,7-AB-48D-RJS,Through-Tubing,397,Etapa Unica,13.7914,UO-ES,ALBACORA,ANC,SS-45,29/08/2021
47,7-AB-56DA-RJS,Through-Tubing,454,Etapa Unica,40.9375,UO-ES,ALBACORA,DP-LWO,NS-51,09/07/2018
48,7-AB-61D-RJS,Through-Tubing,455,Etapa Unica,41.8333,UO-ES,ALBACORA,DP-LWO,NS-51,31/07/2018
49,7-AB-7DA-RJS,Convencional com BOP,439,Etapa Unica,28.2708,UO-ES,ALBACORA,ANC,SS-39,13/07/2015
50,7-BAZ-6-ESS,Convencional com BOP,1377,Faseado Etapa 2,10.9166,UO-ES,BALEIA AZUL,DP-GEN,SS-73,21/09/2020
51,7-BD-12D-RJS,Convencional com BOP,86,Etapa Unica,89.6874,UO-BC,BADEJO,ANC,P-16,05/02/2015
52,7-BD-16DA-RJS,Superconvencional,95,Etapa Unica,54.6042,UO-BC,BADEJO,ANC,SS-45,08/06/2015
53,7-BD-7D-RJS,Superconvencional,88,Etapa Unica,78.8542,UO-BC,BADEJO,ANC,P-16,21/11/2015
54,7-BD-9D-RJS,Superconvencional,87,Etapa Unica,70.9791,UO-BC,BADEJO,ANC,P-16,31/01/2016
55,7-BFR-3HP-ESS,Convencional com BOP,1515,Faseado Etapa 1,28.2499,UO-ES,BALEIA FRANCA,DP-GEN,SS-81,18/12/2020
56,7-BI-17HPA-RJS,Convencional com BOP,128,Etapa Unica,40.1253,UO-BC,BICUDO,ANC,SS-39,04/02/2016
57,7-BI-1D-RJS,Convencional com BOP,121,Etapa Unica,49.3335,UO-BC,BICUDO,ANC,SS-62,06/03/2016
58,7-BI-21H-RJS,Superconvencional,143,Etapa Unica,47.6665,UO-BC,BICUDO,ANC,SS-45,18/04/2017
59,7-BI-2D-RJS,Convencional com BOP,132,Etapa Unica,42.9583,UO-BC,BICUDO,ANC,P-17,19/04/2015
60,7-BI-7DA-RJS,Convencional com BOP,132,Faseado Etapa 2,13.9586,UO-BC,BICUDO,ANC,SS-39,28/11/2015
61,7-EN-47D-RJS,Through-Tubing,122,Etapa Unica,48.1041,UO-BC,ENCHOVA,ANC,SS-39,02/10/2015
62,7-ESP-15H-RJS,Convencional com BOP,864,Faseado Etapa 1,34.9165,UO-BC,ESPADARTE,DP-GEN,SS-70,08/10/2021
63,7-ESP-34HP-RJS,Superconvencional,1340,Etapa Unica,45.9996,UO-BC,ESPADARTE,DP-GEN,SS-57,07/11/2019
64,7-ESP-36HP-RJS,Convencional com BOP,1373,Faseado Completo,63.0419,UO-BC,ESPADARTE,DP-GEN,SS-81,09/07/2017
65,7-ESP-36HP-RJS,Convencional com BOP,1373,Faseado Completo,75.75,UO-BC,ESPADARTE,DP-GEN,SS-81,09/07/2017
66,7-ESP-38HP-RJS,Complexo,1454,Faseado Completo,116.7985,UO-BC,ESPADARTE,DP-GEN,SS-81,03/11/2017
67,7-ESP-38HP-RJS,Complexo,1454,Faseado Completo,0.0417,UO-BC,ESPADARTE,DP-GEN,NS-38,14/12/2017
68,7-ESP-40HP-RJS,Convencional com BOP,1338,Etapa Unica,55.5834,UO-BC,ESPADARTE,DP-GEN,SS-57,16/06/2019
69,7-ESP-48D-RJS,Convencional com BOP,1403,Etapa Unica,55.5832,UO-BC,ESPADARTE,DP-GEN,SS-87,21/06/2018
70,7-GLF-11H-ESS,Convencional com BOP,1383,Faseado Completo,21.7915,UO-ES,GOLFINHO,DP-GEN,SS-85,16/03/2018
71,7-GLF-11H-ESS,Convencional com BOP,1383,Faseado Completo,8.2915,UO-ES,GOLFINHO,DP-LWO,NS-51,16/03/2018
72,7-GLF-6HP-ESS,Convencional com BOP,1396,Faseado Completo,8.2915,UO-ES,GOLFINHO,DP-GEN,SS-85,25/03/2018
73,7-GLF-6HP-ESS,Convencional com BOP,1396,Faseado Completo,6.7916,UO-ES,GOLFINHO,DP-LWO,NS-51,25/03/2018
74,7-GLF-9HP-ESS,Convencional com BOP,1390,Faseado Completo,15.7292,UO-ES,GOLFINHO,DP-GEN,SS-81,04/06/2018
75,7-GLF-9HP-ESS,Convencional com BOP,1390,Faseado Completo,9.75,UO-ES,GOLFINHO,DP-LWO,NS-51,04/06/2018
76,7-LI-10-RJS,Superconvencional,105,Etapa Unica,49.8542,UO-BC,LINGUADO,ANC,P-16,25/06/2015
77,7-LI-11D-RJS,Superconvencional,103,Etapa Unica,27.0418,UO-BC,LINGUADO,ANC,P-16,22/07/2015
78,7-LI-12D-RJS,Convencional com BOP,106,Etapa Unica,29.9375,UO-BC,LINGUADO,ANC,P-16,21/08/2015
79,7-LI-15D-RJS,Convencional com BOP,106,Etapa Unica,40.4789,UO-BC,LINGUADO,ANC,P-16,05/05/2015
80,7-LI-16D-RJS,Convencional com BOP,104,Etapa Unica,71.4378,UO-BC,LINGUADO,ANC,P-10,07/04/2015
81,7-LI-16D-RJS,Convencional com BOP,104,Etapa Unica,100.2918,UO-BC,LINGUADO,ANC,SS-45,07/04/2015
82,7-LI-17D-RJS,Superconvencional,96,Etapa Unica,56.7085,UO-BC,LINGUADO,ANC,SS-45,23/02/2016
83,7-MLH-5HP-RJS,Superconvencional,389,Etapa Unica,44.1663,UO-BC,MALHADO,ANC,SS-45,15/12/2021
84,7-MLS-106H-RJS,Convencional com BOP,1039,Faseado Completo,35.5416,UO-BC,MARLIM SUL,DP-GEN,SS-81,01/09/2020
85,7-MLS-106H-RJS,Convencional com BOP,1039,Faseado Completo,21.3954,UO-BC,MARLIM SUL,DP-GEN,SS-81,19/11/2020
86,7-MLS-79HP-RJS,Through-Tubing,1044,Etapa Unica,63.4372,UO-BC,MARLIM SUL,DP-GEN,SS-83,25/10/2020
87,7-MO-2HA-RJS,Superconvencional,118,Etapa Unica,59.6665,UO-BC,MOREIA,ANC,SS-45,05/01/2017
88,7-MRL-101D-RJS,Convencional com BOP,871,Faseado Etapa 1,20.0001,UO-BC,MARLIM,DP-GEN,SS-81,13/02/2021
89,7-MRL-104D-RJS,Convencional com BOP,946.5,Faseado Etapa 1,24.0833,UO-BC,MARLIM,DP-GEN,SS-83,19/12/2021
90,7-MRL-109H-RJS,Convencional RCMA,770,Faseado Completo,5.625,UO-BC,MARLIM,DP-GEN,SS-70,29/08/2021
91,7-MRL-109H-RJS,Convencional RCMA,770,Faseado Completo,25.5417,UO-BC,MARLIM,DP-LWO,NS-51,20/02/2020
92,7-MRL-115H-RJS,Convencional com BOP,981,Faseado Etapa 1,24.7915,UO-BC,MARLIM,DP-GEN,SS-70,31/10/2020
93,7-MRL-123HP-RJS,Convencional com BOP,1020,Faseado Etapa 1,32.0415,UO-BC,MARLIM,DP-LWO,NS-51,18/04/2020
94,7-MRL-126HP-RJS,Convencional com BOP,982,Faseado Completo,32.4581,UO-BC,MARLIM,DP-GEN,SS-83,27/12/2020
95,7-MRL-126HP-RJS,Convencional com BOP,982,Faseado Completo,17.7287,UO-BC,MARLIM,DP-GEN,SS-73,02/02/2021
96,7-MRL-127HB-RJS,Convencional com BOP,822,Faseado Etapa 1,39.3958,UO-BC,MARLIM,DP-GEN,SS-79,13/02/2017
97,7-MRL-131HP-RJS,Convencional com BOP,841,Etapa Unica,61.5417,UO-BC,MARLIM,DP-GEN,SS-56,17/09/2016
98,7-MRL-136HP-RJS,Convencional com BOP,1016,Faseado Etapa 1,19.521,UO-BC,MARLIM,DP-GEN,SS-83,25/11/2020
99,7-MRL-136HP-RJS,Convencional com BOP,1016,Faseado Etapa 1,21.1042,UO-BC,MARLIM,DP-GEN,SS-83,03/02/2021
100,7-MRL-138HP-RJS,Convencional com BOP,953,Faseado Etapa 1,10.0833,UO-BC,MARLIM,DP-GEN,SS-83,28/02/2021
101,7-MRL-14-RJS,Superconvencional,880,Etapa Unica,99.3124,UO-BC,MARLIM,DP-GEN,SS-87,18/12/2016
102,7-MRL-154HP-RJS,Through-Tubing,938,Etapa Unica,49.6455,UO-BC,MARLIM,DP-GEN,SS-83,07/11/2021
103,7-MRL-194HP-RJS,Through-Tubing,939,Etapa Unica,37.0001,UO-BC,MARLIM,DP-GEN,SS-81,24/01/2021
104,7-MRL-19D-RJS,Superconvencional,880,Faseado Completo,31.7916,UO-BC,MARLIM,DP-GEN,SS-87,20/08/2017
105,7-MRL-19D-RJS,Superconvencional,880,Faseado Completo,97.562,UO-BC,MARLIM,DP-GEN,SS-57,09/07/2018
106,7-MRL-24D-RJS,Through-Tubing,980,Etapa Unica,35.417,UO-BC,MARLIM,DP-LWO,NS-52,01/05/2021
107,7-MRL-40D-RJS,Superconvencional,810,Etapa Unica,63.7286,UO-BC,MARLIM,DP-GEN,SS-56,02/03/2017
108,7-MRL-51-RJS,Through-Tubing,793,Etapa Unica,43.9583,UO-BC,MARLIM,DP-LWO,NS-52,14/10/2020
109,7-MRL-56D-RJS,Superconvencional,671,Etapa Unica,116.6874,UO-BC,MARLIM,DP-GEN,SS-87,28/10/2015
110,7-MRL-59-RJS,Convencional com BOP,956,Etapa Unica,62.6455,UO-BC,MARLIM,DP-GEN,NS-17,09/01/2015
111,7-MRL-60D-RJS,Through-Tubing,951,Etapa Unica,34.5414,UO-BC,MARLIM,DP-GEN,SS-55,18/05/2015
112,7-MRL-68D-RJS,Through-Tubing,957,Etapa Unica,31.2079,UO-BC,MARLIM,DP-LWO,NS-51,13/07/2017
113,7-MRL-78D-RJS,Convencional com BOP,972,Etapa Unica,42.1248,UO-BC,MARLIM,DP-GEN,SS-55,13/04/2015
114,7-MRL-85D-RJS,Convencional com BOP,933,Faseado Etapa 1,8.4999,UO-BC,MARLIM,DP-GEN,SS-83,08/03/2021
115,7-MRL-86D-RJS,Convencional com BOP,928,Faseado Etapa 1,48.0419,UO-BC,MARLIM,DP-GEN,SS-83,29/08/2021
116,7-MRL-87D-RJS,Convencional com BOP,930,Faseado Etapa 1,14.8959,UO-BC,MARLIM,DP-GEN,SS-83,18/02/2021
117,7-MRL-88H-RJS,Convencional com BOP,750,Faseado Etapa 1,15.75,UO-BC,MARLIM,DP-LWO,NS-52,28/11/2020
118,7-MRL-89D-RJS,Convencional com BOP,723,Faseado Etapa 1,36.1041,UO-BC,MARLIM,DP-LWO,NS-52,16/03/2020
119,7-MRL-8D-RJS,Convencional RCMA,674,Faseado Completo,40.8127,UO-BC,MARLIM,DP-GEN,SS-70,06/10/2020
120,7-MRL-8D-RJS,Convencional RCMA,674,Faseado Completo,13.729,UO-BC,MARLIM,DP-GEN,SS-73,20/02/2021
121,7-MRL-91H-RJS,Convencional com BOP,773,Etapa Unica,49.0622,UO-BC,MARLIM,DP-GEN,SS-57,09/03/2019
122,7-MRL-9-RJS,Through-Tubing,777,Etapa Unica,38.0417,UO-BC,MARLIM,DP-GEN,SS-70,17/01/2022
123,7-MXL-13H-SPS,Convencional com BOP,484,Etapa Unica,113.6871,UO-BS,MEXILHAO,DP-GEN,SS-81,11/11/2021
124,7-PRB-1-ESS,Through-Tubing,1275,Etapa Unica,24.9374,UO-ES,PIRAMBU,DP-GEN,SS-73,15/10/2020
125,7-PRM-5-SES,Through-Tubing,1681,Etapa Unica,24.4166,UO-SEAL,PIRANEMA,DP-LWO,NS-51,24/01/2021
126,7-PU-11-RJS,Convencional com BOP,225,Etapa Unica,33.1458,UO-BC,PIRAUNA,ANC,SS-39,15/08/2015
127,7-PU-7D-RJS,Through-Tubing,285,Etapa Unica,33.146,UO-BC,PIRAUNA,ANC,SS-62,21/07/2015
128,7-PU-8D-RJS,Convencional com BOP,287,Etapa Unica,29.3332,UO-BC,PIRAUNA,ANC,SS-62,20/08/2015
129,7-RO-107HPA-RJS,Convencional com BOP,1820,Etapa Unica,84.9588,UO-ES,RONCADOR,DP-GEN,SS-79,31/07/2016
130,7-RO-114HP-RJS,Convencional com BOP,1784,Etapa Unica,95.2073,UO-ES,RONCADOR,DP-GEN,SS-79,15/12/2016
131,7-RO-141HP-RJS,Superconvencional,1745,Faseado Completo,16.1458,UO-ES,RONCADOR,DP-GEN,SS-79,29/08/2020
132,7-RO-141HP-RJS,Superconvencional,1745,Faseado Completo,66.6245,UO-ES,RONCADOR,DP-GEN,SS-79,29/08/2020
133,7-RO-142H-RJS,Convencional RCMA,1697,Etapa Unica,40.1037,UO-ES,RONCADOR,DP-GEN,SS-73,16/01/2021
134,7-RO-24D-RJS,Convencional com BOP,1852,Etapa Unica,19.2085,UO-ES,RONCADOR,DP-GEN,SS-70,04/08/2021
135,7-VD-14HP-RJS,Convencional RCMA,531,Etapa Unica,46.5005,UO-BC,VOADOR,ANC,SS-45,23/02/2021
136,7-VD-16HP-RJS,Through-Tubing,412,Etapa Unica,41.2707,UO-BC,VOADOR,ANC,SS-45,05/04/2021
137,7-VD-3HP-RJS,Superconvencional,568,Etapa Unica,64.5212,UO-BC,VOADOR,ANC,P-10,10/06/2015
138,7-VD-3HP-RJS,Superconvencional,568,Etapa Unica,31.1251,UO-BC,VOADOR,ANC,SS-62,10/06/2015
139,8-ABL-32HP-RJS,Convencional com BOP,1120,Etapa Unica,42.6042,UO-ES,ALBACORA LESTE,DP-GEN,NS-23,27/05/2015
140,8-ABL-32HP-RJS,Convencional com BOP,1120,Etapa Unica,10.0209,UO-ES,ALBACORA LESTE,DP-GEN,SS-79,27/05/2015
141,8-ABL-32HP-RJS,Convencional com BOP,1120,Etapa Unica,10.2502,UO-ES,ALBACORA LESTE,DP-GEN,SS-80,27/05/2015
142,8-GLF-14HPA-ESS,Convencional com BOP,1339,Faseado Completo,20.5207,UO-ES,GOLFINHO,DP-GEN,SS-85,23/02/2018
143,8-GLF-14HPA-ESS,Convencional com BOP,1339,Faseado Completo,5.4375,UO-ES,GOLFINHO,DP-LWO,NS-51,23/02/2018
144,8-GLF-3HPA-ESS,Convencional com BOP,1358,Faseado Completo,29.5622,UO-ES,GOLFINHO,DP-GEN,SS-81,19/05/2018
145,8-GLF-3HPA-ESS,Convencional com BOP,1358,Faseado Completo,23.7503,UO-ES,GOLFINHO,DP-LWO,NS-51,19/05/2018
146,8-MLS-49HPA-RJS,Convencional com BOP,881,Etapa Unica,30.6249,UO-BC,MARLIM SUL,DP-GEN,SS-79,30/06/2021
147,8-MLS-61HPA-RJS,Convencional RCMA,1137,Faseado Etapa 1,17.2914,UO-BC,MARLIM SUL,DP-GEN,SS-83,20/01/2022
148,8-MLS-75HPA-RJS,Convencional com BOP,1316,Etapa Unica,29.1665,UO-BC,MARLIM SUL,DP-GEN,SS-57,24/03/2019
149,8-MRL-105D-RJS,Through-Tubing,901,Etapa Unica,27.0413,UO-BC,MARLIM,DP-LWO,NS-52,08/08/2021
150,8-MRL-114D-RJS,Convencional RCMA,970,Etapa Unica,25.5623,UO-BC,MARLIM,DP-LWO,NS-51,17/03/2020
151,8-MRL-120D-RJS,Convencional com BOP,945,Faseado Etapa 1,34.896,UO-BC,MARLIM,DP-LWO,NS-52,02/11/2021
152,8-MRL-139D-RJS,Convencional com BOP,929,Faseado Completo,17.6877,UO-BC,MARLIM,DP-GEN,SS-83,18/09/2021
153,8-MRL-139D-RJS,Convencional com BOP,929,Faseado Completo,19.4164,UO-BC,MARLIM,DP-GEN,SS-79,21/03/2022
154,8-MRL-165HPA-RJS,Convencional com BOP,891,Faseado Etapa 1,17.9374,UO-BC,MARLIM,DP-GEN,SS-83,25/11/2021
155,8-MRL-61A-RJS,Through-Tubing,960,Etapa Unica,10.2708,UO-BC,MARLIM,DP-LWO,NS-52,03/01/2021
156,8-MRL-73D-RJS,Convencional com BOP,958,Faseado Etapa 1,26.2916,UO-BC,MARLIM,DP-LWO,NS-52,24/12/2020
157,8-MRL-75D-RJS,Through-Tubing,950,Etapa Unica,19.5001,UO-BC,MARLIM,DP-LWO,NS-52,21/11/2021
158,8-MRL-79D-RJS,Through-Tubing,956,Etapa Unica,8.9999,UO-BC,MARLIM,DP-LWO,NS-52,12/01/2021
159,8-PRM-2D-SES,Convencional RCMA,1376,Faseado Completo,39.8955,UO-SEAL,PIRANEMA,DP-LWO,NS-51,09/12/2020
160,8-PRM-2D-SES,Convencional RCMA,1376,Faseado Completo,9.104,UO-SEAL,PIRANEMA,DP-LWO,NS-51,09/12/2020
161,8-PRM-3-SES,Through-Tubing,1127,Etapa Unica,24.8332,UO-SEAL,PIRANEMA,DP-LWO,NS-51,15/07/2021
162,8-PRM-7D-SES,Through-Tubing,1640,Etapa Unica,20.1877,UO-SEAL,PIRANEMA,DP-LWO,NS-51,29/12/2020
163,8-PRM-8-SES,Convencional RCMA,1250,Faseado Completo,16.5001,UO-SEAL,PIRANEMA,DP-LWO,NS-51,30/11/2020
164,8-PRM-8-SES,Convencional RCMA,1250,Faseado Completo,6.7291,UO-SEAL,PIRANEMA,DP-LWO,NS-51,30/11/2020
165,9-BD-18HP-RJS,Convencional com BOP,91,Etapa Unica,27.8124,UO-BC,BADEJO,ANC,SS-39,26/12/2015
166,9-CRV-3-PRS,Convencional com BOP,195,Faseado Etapa 2,16.7917,UO-BS,CARAVELA,ANC,SS-45,06/10/2017
167,9-ESP-12D-RJS,Convencional RCMA,828,Etapa Unica,46.8957,UO-BC,ESPADARTE,DP-GEN,SS-57,02/08/2019
168,9-ESP-18DP-RJS,Convencional com BOP,1404,Faseado Etapa 2,27.5622,UO-BC,ESPADARTE,DP-GEN,SS-83,12/07/2021
169,9-ESP-7D-RJS,Convencional com BOP,873,Etapa Unica,55.2915,UO-BC,ESPADARTE,DP-GEN,SS-57,01/11/2017
170,9-RO-17D-RJS,Convencional com BOP,1777,Etapa Unica,44.083,UO-ES,RONCADOR,DP-GEN,SS-79,23/06/2020
